// gr-dict 1.0
// Unidirectional mapping of different dialect words to their Canadian spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// o => ou (color => colour, mold => mould)

retroflections ~ retroflexions
sceptic ~ skeptic
sceptical ~ skeptical
sceptically ~ skeptically
scepticism ~ skepticism
scepticisms ~ skepticisms
scepticist ~ skepticist
scepticists ~ skepticists
sceptics ~ skeptics
sledge ~ sled
sledged ~ sledded
sledges ~ sleds
sledging ~ sledding
sledgings ~ sleddings
somberer ~ sombrer
somberest ~ sombrest
specialities ~ specialties
speciality ~ specialty
tabletting ~ tableting
tranship ~ transship
transhiped ~ transshiped
transhipment ~ transshipment
transhipping ~ transshipping
waggon ~ wagon
waggoned ~ wagoned
waggoning ~ wagoning
waggons ~ wagons
yoghourt ~ yogurt
yoghourts ~ yogurts
yoghurt ~ yogurt
yoghurts ~ yogurts

//   carat has more meanings
//carat ~ karat
//carats ~ karats
//   different meaninings
//barque ~ bark
//barqued ~ barked
//barques ~ barks
//barquing ~ barking
//storey ~ story
//   both are possible
//abridgment ~ abridgement
//abridgments ~ abridgements
//acknowledgment ~ acknowledgement
//acknowledgments ~ acknowledgements
//ambience ~ ambiance
//ambiences ~ ambiances
//analog ~ analogue
//analogs ~ analogues
//annex ~ annexe
//apophthegm ~ apothegm
//apophthegms ~ apothegms
//appal ~ appall
//appaled ~ appalled
//appaling ~ appalling
//appals ~ appalls
//backwards ~ backward
//bannister ~ banister
//bannisters ~ banisters
//carburettor ~ carburetor
//carburettors ~ carburetors
//clarinettist ~ clarinetist
//clarinettists ~ clarinetists
//collectable ~ collectible
//collectables ~ collectibles
//commission ~ commision
//commissioned ~ commisioned
//commissioning ~ commisioning
//commissions ~ commisions
//distil ~ distill
//distils ~ distills
//enquire ~ inquire
//enquiries ~ inquiries
//enquiry ~ inquiry
//enrol ~ enroll
//enrols ~ enrolls
//ensorcel ~ ensorcell
//ensorceled ~ ensorcelled
//ensorceling ~ ensorcelling
//ensorcels ~ ensorcells
//enthral ~ enthrall
//enthraled ~ enthralled
//enthraling ~ enthralling
//enthrals ~ enthralls
//epaulette ~ epaulet
//epaulettes ~ epaulets
//flautist ~ flutist
//flautists ~ flutists
//fledgling ~ fledgeling
//fledglings ~ fledgelings
//fulfil ~ fulfill
//fulfiled ~ fulfilled
//fulfiling ~ fulfilling
//fulfilment ~ fulfillment
//fulfils ~ fulfills
//furor ~ furore
//furors ~ furores
//galoshes ~ goloshes
//gluing ~ glueing
//groin ~ groyne
