// gr-dict 1.0
// Unidirectional mapping of different dialect words to their American spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// ou => o (colour => color, mould => mold)

natraemia ~ natremia
nonhaemolytic ~ nonhemolytic
normokalaemia ~ normokalemia
oedema ~ edema
oedemata ~ edemata
oenology ~ enology
oesophagoscope ~ esophagoscope
oesophagus ~ esophagus
oestrogen ~ estrogen
oestrogens ~ estrogens
oestrous ~ estrous
orthopaedic ~ orthopedic
orthopaedics ~ orthopedics
oxyhaemoglobin ~ oxyhemoglobin
paedagogies ~ pedagogies
paedagogy ~ pedagogy
paederast ~ pederast
paederasts ~ pederasts
paediatric ~ pediatric
paediatrician ~ pediatrician
paediatricians ~ pediatricians
paediatrics ~ pediatrics
paedophile ~ pedophile
paedophiles ~ pedophiles
paedophilia ~ pedophilia
palaeobotany ~ paleobotany
palaeocene ~ paleocene
palaeoclimatology ~ paleoclimatology
palaeogeography ~ paleogeography
palaeographies ~ paleographies
palaeography ~ paleography
palaeolithic ~ paleolithic
palaeomagnetism ~ paleomagnetism
palaeontologist ~ paleontologist
palaeontologists ~ paleontologists
palaeontology ~ paleontology
palaeozoic ~ paleozoic
parasitaemia ~ parasitemia
pharmacopoeia ~ pharmacopeia
pharmacopoeias ~ pharmacopeias
polycythaemia ~ polycythemia
praesidium ~ presidium
praesidiums ~ presidiums
primaeval ~ primeval
pyaemia ~ pyemia
septicaemia ~ septicemia
thalassaemia ~ thalassemia
toxaemia ~ toxemia
toxaemias ~ toxemias
tyrosinaemia ~ tyrosinemia
uraemia ~ uremia
viraemia ~ viremia

// ll => l (in word forms)

backpedalled ~ backpedaled
backpedalling ~ backpedaling
bedevilled ~ bedeviled
bedevilling ~ bedeviling
bejewelled ~ bejeweled
bevelled ~ beveled
calliper ~ caliper
callipers ~ calipers
callisthenics ~ calisthenics
cancelled ~ canceled
cancelling ~ canceling
carolled ~ caroled
carolling ~ caroling
carollings ~ carolings
cavilled ~ caviled
cavilling ~ caviling
cavillings ~ cavilings
channelled ~ channeled
channelling ~ channeling
chilli ~ chili
chillies ~ chilies
chiselled ~ chiseled
chiselling ~ chiseling
councillor ~ councilor
councillors ~ councilors
counselled ~ counseled
counselling ~ counseling
//counsellor - Wiktionary, Oxford, Longman, and Cambridge still differentiate them
counsellor ~ counselor
counsellors ~ counselors
crenellate ~ crenelate
crenellated ~ crenelated
crenellates ~ crenelates
crenellating ~ crenelating
crueller ~ crueler
cruellest ~ cruelest
cudgelled ~ cudgeled
cudgelling ~ cudgeling
dialled ~ dialed
dialling ~ dialing
dialling ~ dialing
diallings ~ dialings
disembowelled ~ disemboweled
disembowelling ~ disemboweling
disembowellings ~ disembowelings
dishevelled ~ disheveled
drivelled ~ driveled
drivelling ~ driveling
duelled ~ dueled
duelling ~ dueling
enamelled ~ enameled
enamelling ~ enameling
equalled ~ equaled
funnelled ~ funneled
funnelling ~ funneling
gambolled ~ gamboled
gambolling ~ gamboling
gravelled ~ graveled
gravelling ~ graveling
grovelled ~ groveled
grovelling ~ groveling
gruelling ~ grueling
gruellingly ~ gruelingly
impanelled ~ impaneled
impanelling ~ impaneling
imperilled ~ imperiled
imperilling ~ imperiling
initialled ~ initialed
initialling ~ initialing
jewelled ~ jeweled
jeweller ~ jeweler
jewellers ~ jewelers
labelled ~ labeled
labeller ~ labeler
labellers ~ labelers
labelling ~ labeling
labellings ~ labelings
levelled ~ leveled
leveller ~ leveler
levellers ~ levelers
levelling ~ leveling
libelled ~ libeled
libelling ~ libeling
libellous ~ libelous
marshalled ~ marshaled
marshalling ~ marshaling
marvelled ~ marveled
marvelling ~ marveling
marvellous ~ marvelous
marvellously ~ marvelously
metallize ~ metalize
metallized ~ metalized
metallizing ~ metalizing
//modelled - Wiktionary, Longman, Cambridge, Oxford, and Google ngrams still give two variants
modelled ~ modeled
modeller ~ modeler
modellers ~ modelers
modelling ~ modeling
modellings ~ modelings
panelled ~ paneled
panelling ~ paneling
panellist ~ panelist
panellists ~ panelists
parcelling ~ parceling
pedalled ~ pedaled
pedalling ~ pedaling
pencilled ~ penciled
pencilling ~ penciling
quarrelled ~ quarreled
quarrelling ~ quarreling
ravelled ~ raveled
ravelling ~ raveling
refuelled ~ refueled
refuelling ~ refueling
refuellings ~ refuelings
remodelled ~ remodeled
remodelling ~ remodeling
remodellings ~ remodelings
revelled ~ reveled
reveller ~ reveler
revellers ~ revelers
revelling ~ reveling
rivalled ~ rivaled
rivalling ~ rivaling
shovelled ~ shoveled
shovelling ~ shoveling
shrivelled ~ shriveled
shrivelling ~ shriveling
signalled ~ signaled
signalling ~ signaling
signallings ~ signalings
snivelled ~ sniveled
snivelling ~ sniveling
snorkelled ~ snorkeled
snorkelling ~ snorkeling
spiralled ~ spiraled
spiralling ~ spiraling
squirrelled ~ squirreled
squirrelling ~ squirreling
stencilled ~ stenciled
stencilling ~ stenciling
swivelled ~ swiveled
swivelling ~ swiveling
tasselled ~ tasseled
totalled ~ totaled
totalling ~ totaling
towelled ~ toweled
towelling ~ toweling
towellings ~ towelings
trammelled ~ trammeled
trammelling ~ trammeling
tranquillize ~ tranquilize
tranquillized ~ tranquilized
tranquillizer ~ tranquilizer
tranquillizers ~ tranquilizers
tranquillizes ~ tranquilizes
tranquillizing ~ tranquilizing
travelled ~ traveled
traveller ~ traveler
travellers ~ travelers
travelling ~ traveling
travellings ~ travelings
trialled ~ trialed
trialling ~ trialing
tunnelled ~ tunneled
tunnelling ~ tunneling
tunnellings ~ tunnelings
unequalled ~ unequaled
unravelled ~ unraveled
unravelling ~ unraveling
unrivalled ~ unrivaled
untrammelled ~ untrammeled
weaselled ~ weaseled
weaselling ~ weaseling
woollen ~ woolen
woollens ~ woolens
yodelled ~ yodeled
yodelling ~ yodeling

// ce => se

defence ~ defense
defenceless ~ defenseless
defences ~ defenses
licence ~ license
licenced ~ licensed
licences ~ licenses
licencing ~ licensing
offence ~ offense
offences ~ offenses
pretence ~ pretense
pretences ~ pretenses

// ph => f

bisulphate ~ bisulfate
bisulphates ~ bisulfates
bisulphite ~ bisulfite
bisulphites ~ bisulfites
disulphide ~ disulfide
disulphides ~ disulfides
hydrosulphite ~ hydrosulfite
hydrosulphites ~ hydrosulfites
pyrosulphite ~ pyrosulfite
pyrosulphites ~ pyrosulfites
sulphate ~ sulfate
sulphated ~ sulfated
sulphates ~ sulfates
sulphating ~ sulfating
