// gr-dict 1.0
// Unidirectional transformation from British spelled words to their American
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

palaeographies ~ paleographies
palaeogeography ~ paleogeography
palaeoclimatology ~ paleoclimatology
palaeocene ~ paleocene
palaeobotany ~ paleobotany
pyjamas ~ pajamas
pyjama ~ pajama
ozonising ~ ozonizing
ozonises ~ ozonizes
ozonised ~ ozonized
ozonise ~ ozonize
oxidising ~ oxidizing
oxidises ~ oxidizes
oxidised ~ oxidized
oxidise ~ oxidize
oxidisation ~ oxidization
overemphasising ~ overemphasizing
overemphasises ~ overemphasizes
overemphasised ~ overemphasized
overemphasise ~ overemphasize
outmanoeuvres ~ outmaneuvers
outmanoeuvring ~ outmaneuvering
outmanoeuvred ~ outmaneuvered
outmanoeuvre ~ outmaneuver
ostracising ~ ostracizing
ostracises ~ ostracizes
ostracised ~ ostracized
ostracise ~ ostracize
orthopaedics ~ orthopedics
orthopaedic ~ orthopedic
organising ~ organizing
organises ~ organizes
organisers ~ organizers
organiser ~ organizer
organised ~ organized
organise ~ organize
organisations ~ organizations
organisational ~ organizational
organisation ~ organization
optimising ~ optimizing
optimises ~ optimizes
optimised ~ optimized
optimise ~ optimize
optimisations ~ optimizations
optimisation ~ optimization
omelettes ~ omelets
omelette ~ omelet
offences ~ offenses
offence ~ offense
odours ~ odors
odourless ~ odorless
odour ~ odor
//octogonal octagonal
north-wests ~ northwests
north-west ~ northwest
north-easts ~ northeasts
normalising ~ normalizing
normalises ~ normalizes
normalised ~ normalized
normalise ~ normalize
normalisations ~ normalizations
normalisation ~ normalization
nitre ~ niter
neutralising ~ neutralizing
neutralises ~ neutralizes
neutralised ~ neutralized
neutralise ~ neutralize
neutralisation ~ neutralization
neurones ~ neurons
neurone ~ neuron
nett ~ net
neighbours ~ neighbors
neighbourly ~ neighborly
neighbourliness ~ neighborliness
//neighbourliest neighborliest
//neighbourlier neighborlier
neighbouring ~ neighboring
neighbourhoods ~ neighborhoods
neighbourhood ~ neighborhood
neighbour ~ neighbor
nebulisers ~ nebulizers
nebuliser ~ nebulizer
nought ~ naught
naturalising ~ naturalizing
naturalises ~ naturalizes
naturalised ~ naturalized
naturalise ~ naturalize
naturalisations ~ naturalizations
naturalisation ~ naturalization
nationalising ~ nationalizing
nationalises ~ nationalizes
nationalised ~ nationalized
nationalise ~ nationalize
nationalisations ~ nationalizations
nationalisation ~ nationalization
moustachioed ~ mustachioed
moustaches ~ mustaches
moustached ~ mustached
moustache ~ mustache
multicoloured ~ multicolored
multicolour ~ multicolor
motorising ~ motorizing
motorises ~ motorizes
motorised ~ motorized
motorise ~ motorize
moralising ~ moralizing
moralises ~ moralizes
moralised ~ moralized
moralise ~ moralize
monopolising ~ monopolizing
monopolises ~ monopolizes
monopolised ~ monopolized
monopolise ~ monopolize
monopolisation ~ monopolization
monologues ~ monologs
monologue ~ monolog
mums ~ moms
mum ~ mom
moults ~ molts
moulting ~ molting
moulted ~ molted
moult ~ molt
molluscs ~ mollusks
mollusc ~ mollusk
mouldy ~ moldy
moulds ~ molds
mouldings ~ moldings
moulding ~ molding
mouldiest ~ moldiest
mouldier ~ moldier
moulders ~ molders
mouldering ~ moldering
mouldered ~ moldered
moulder ~ molder
moulded ~ molded
mould ~ mold
moisturising ~ moisturizing
moisturises ~ moisturizes
moisturisers ~ moisturizers
moisturiser ~ moisturizer
moisturised ~ moisturized
moisturise ~ moisturize
modernising ~ modernizing
modernises ~ modernizes
modernised ~ modernized
modernise ~ modernize
modellings ~ modelings
modelling ~ modeling
modellers ~ modelers
modeller ~ modeler
modelled ~ modeled
mobilising ~ mobilizing
mobilises ~ mobilizes
mobilised ~ mobilized
mobilise ~ mobilize
mobilisations ~ mobilizations
mobilisation ~ mobilization
mitres ~ miters
mitring ~ mitering
mitred ~ mitered
mitre ~ miter
misspelt ~ misspelled
misjudgements ~ misjudgments
misjudgement ~ misjudgment
misdemeanours ~ misdemeanors
misdemeanour ~ misdemeanor
misbehaviours ~ misbehaviors
misbehaviour ~ misbehavior
minimising ~ minimizing
minimises ~ minimizes
minimised ~ minimized
minimise ~ minimize
minibuses ~ minibusses
miniaturising ~ miniaturizing
miniaturises ~ miniaturizes
miniaturised ~ miniaturized
miniaturise ~ miniaturize
miniaturisations ~ miniaturizations
miniaturisation ~ miniaturization
mineralisations ~ mineralizations
mineralisation ~ mineralization
millimetres ~ millimeters
millimetre ~ millimeter
millilitres ~ milliliters
millilitre ~ milliliter
milligrammes ~ milligrams
milligramme ~ milligram
militarising ~ militarizing
militarises ~ militarizes
militarised ~ militarized
militarise ~ militarize
micrometres ~ micrometers
micrometre ~ micrometer
metres ~ meters
metring ~ metering
metred ~ metered
metre ~ meter
metallising ~ metalizing
metallised ~ metalized
metallise ~ metalize
metacentres ~ metacenters
metacentre ~ metacenter
metabolising ~ metabolizing
metabolises ~ metabolizes
metabolised ~ metabolized
metabolise ~ metabolize
mesmerising ~ mesmerizing
mesmerises ~ mesmerizes
mesmerised ~ mesmerized
mesmerise ~ mesmerize
mercerising ~ mercerizing
mercerises ~ mercerizes
mercerised ~ mercerized
mercerise ~ mercerize
menorrhoea ~ menorrhea
memorising ~ memorizing
memorises ~ memorizes
memorised ~ memorized
memorise ~ memorize
memorialising ~ memorializing
memorialises ~ memorializes
memorialised ~ memorialized
memorialise ~ memorialize
mementoes ~ mementos
mediaevals ~ medievals
mediaeval ~ medieval
mechanising ~ mechanizing
mechanises ~ mechanizes
mechanised ~ mechanized
mechanise ~ mechanize
mechanisation ~ mechanization
meagrest ~ meagerest
meagre ~ meager
maximising ~ maximizing
maximises ~ maximizes
maximised ~ maximized
maximise ~ maximize
maximisations ~ maximizations
maximisation ~ maximization
materialising ~ materializing
materialises ~ materializes
materialised ~ materialized
materialise ~ materialize
materialisations ~ materializations
materialisation ~ materialization
marvellously ~ marvelously
marvellous ~ marvelous
marvelling ~ marveling
marvelled ~ marveled
marshalling ~ marshaling
marshalled ~ marshaled
marginalising ~ marginalizing
marginalises ~ marginalizes
marginalised ~ marginalized
marginalise ~ marginalize
marginalisations ~ marginalizations
marginalisation ~ marginalization
manoeuvres ~ maneuvers
manoeuvrings ~ maneuverings
manoeuvring ~ maneuvering
manoeuvred ~ maneuvered
manoeuvrable ~ maneuverable
manoeuvrability ~ maneuverability
manoeuvre ~ maneuver
//malleabilising malleableizing
//malleabileizes malleableizes
//malleabileized malleableized
//malleabileise malleableize
magnetising ~ magnetizing
magnetises ~ magnetizes
magnetised ~ magnetized
magnetise ~ magnetize
magnetisations ~ magnetizations
magnetisation ~ magnetization
//macadamising macadamizing
//macadamises macadamizes
//macadamised macadamized
//macadamise macadamize
lustres ~ lusters
lustring ~ lustering
lustred ~ lustered
lustre ~ luster
louvres ~ louvers
louvred ~ louvered
louvre ~ louver
localisation ~ localization
localisations ~ localizations
localising ~ localizing
localises ~ localizes
localised ~ localized
localise ~ localize
litres ~ liters
litre ~ liter
liquidising ~ liquidizing
liquidises ~ liquidizes
liquidisers ~ liquidizers
liquidiser ~ liquidizer
liquidised ~ liquidized
liquidise ~ liquidize
lionising ~ lionizing
lionises ~ lionizes
lionised ~ lionized
lionise ~ lionize
lionisations ~ lionizations
lionisation ~ lionization
likeable ~ likable
liquorices ~ licorices
liquorice ~ licorice
licencing ~ licensing
licences ~ licenses
licenced ~ licensed
licence ~ license
liberalising ~ liberalizing
liberalises ~ liberalizes
liberalised ~ liberalized
liberalise ~ liberalize
liberalisations ~ liberalizations
liberalisation ~ liberalization
libellous ~ libelous
libelling ~ libeling
libelled ~ libeled
levelling ~ leveling
levellers ~ levelers
leveller ~ leveler
levelled ~ leveled
leukaemias ~ leukemias
leukaemia ~ leukemia
legitimising ~ legitimizing
legitimises ~ legitimizes
legitimised ~ legitimized
legitimise ~ legitimize
legalising ~ legalizing
legalises ~ legalizes
legalised ~ legalized
legalise ~ legalize
legalisations ~ legalizations
legalisation ~ legalization
leapt ~ leaped
leant ~ leaned
lacklustre ~ lackluster
labours ~ labors
labouring ~ laboring
labourers ~ laborers
labourer ~ laborer
laboured ~ labored
labour ~ labor
labellings ~ labelings
labelling ~ labeling
labelled ~ labeled
kilometres ~ kilometers
kilometre ~ kilometer
kilogrammes ~ kilograms
kilogramme ~ kilogram
carats ~ karats
carat ~ karat
judgements ~ judgments
judgement ~ judgment
jewellery ~ jewelry
jewellers ~ jewelers
jeweller ~ jeweler
jewelled ~ jeweled
jeopardising ~ jeopardizing
jeopardises ~ jeopardizes
jeopardised ~ jeopardized
jeopardise ~ jeopardize
gaols ~ jails
gaolings ~ jailings
gaoling ~ jailing
gaolers ~ jailers
gaoler ~ jailer
gaoled ~ jailed
gaolbroken ~ jailbroken
gaolbroke ~ jailbroke
gaolbreaks ~ jailbreaks
gaolbreaking ~ jailbreaking
gaolbreak ~ jailbreak
gaolbirds ~ jailbirds
gaolbird ~ jailbird
gaol ~ jail
itemising ~ itemizing
itemises ~ itemizes
itemised ~ itemized
itemise ~ itemize
italicising ~ italicizing
italicises ~ italicizes
