// gr-dict 1.0
// Unidirectional transformation from American-spelled words to their British
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

minibusses ~ minibuses
miniaturizing ~ miniaturising
miniaturizes ~ miniaturises
miniaturized ~ miniaturised
miniaturize ~ miniaturise
miniaturizations ~ miniaturisations
miniaturization ~ miniaturisation
mineralizations ~ mineralisations
mineralization ~ mineralisation
millimeters ~ millimetres
millimeter ~ millimetre
milliliters ~ millilitres
milliliter ~ millilitre
milligrams ~ milligrammes
milligram ~ milligramme
militarizing ~ militarising
militarizes ~ militarises
militarized ~ militarised
militarize ~ militarise
micrometers ~ micrometres
micrometer ~ micrometre
// meters metres
// metering metring
// metered metred
// meter metre
metalizing ~ metallising
metalized ~ metallised
metalize ~ metallise
metacenters ~ metacentres
metacenter ~ metacentre
metabolizing ~ metabolising
metabolizes ~ metabolises
metabolized ~ metabolised
metabolize ~ metabolise
mesmerizing ~ mesmerising
mesmerizes ~ mesmerises
mesmerized ~ mesmerised
mesmerize ~ mesmerise
mercerizing ~ mercerising
mercerizes ~ mercerises
mercerized ~ mercerised
mercerize ~ mercerise
menorrhea ~ menorrhoea
memorizing ~ memorising
memorizes ~ memorises
memorized ~ memorised
memorize ~ memorise
memorializing ~ memorialising
memorializes ~ memorialises
memorialized ~ memorialised
memorialize ~ memorialise
mementos ~ mementoes
mechanizing ~ mechanising
mechanizes ~ mechanises
mechanized ~ mechanised
mechanize ~ mechanise
mechanization ~ mechanisation
meagerest ~ meagrest
meager ~ meagre
maximizing ~ maximising
maximizes ~ maximises
maximized ~ maximised
maximize ~ maximise
maximizations ~ maximisations
maximization ~ maximisation
materializing ~ materialising
materializes ~ materialises
materialized ~ materialised
materialize ~ materialise
materializations ~ materialisations
materialization ~ materialisation
marvelously ~ marvellously
marvelous ~ marvellous
marveling ~ marvelling
marveled ~ marvelled
marshaling ~ marshalling
marshaled ~ marshalled
marginalizing ~ marginalising
marginalizes ~ marginalises
marginalized ~ marginalised
marginalize ~ marginalise
marginalizations ~ marginalisations
marginalization ~ marginalisation
maneuvers ~ manoeuvres
maneuverings ~ manoeuvrings
maneuvering ~ manoeuvring
maneuvered ~ manoeuvred
maneuverable ~ manoeuvrable
maneuverability ~ manoeuvrability
maneuver ~ manoeuvre
//malleableizing malleabilising
//malleableizes malleabileizes
//malleableized malleabileized
//malleableize malleabileise
magnetizing ~ magnetising
magnetizes ~ magnetises
magnetized ~ magnetised
magnetize ~ magnetise
magnetizations ~ magnetisations
magnetization ~ magnetisation
//macadamizing macadamising
//macadamizes macadamises
//macadamized macadamised
//macadamize macadamise
lusters ~ lustres
lustering ~ lustring
lustered ~ lustred
luster ~ lustre
louvers ~ louvres
louvered ~ louvred
louver ~ louvre
localization ~ localisation
localizations ~ localisations
localizing ~ localising
localizes ~ localises
localized ~ localised
localize ~ localise
liters ~ litres
liter ~ litre
liquidizing ~ liquidising
liquidizes ~ liquidises
liquidizers ~ liquidisers
liquidizer ~ liquidiser
liquidized ~ liquidised
liquidize ~ liquidise
lionizing ~ lionising
lionizes ~ lionises
lionized ~ lionised
lionize ~ lionise
lionizations ~ lionisations
lionization ~ lionisation
likable ~ likeable
licorices ~ liquorices
licorice ~ liquorice
//licensing licencing
//licenses licences
//licensed licenced
//license licence
liberalizing ~ liberalising
liberalizes ~ liberalises
liberalized ~ liberalised
liberalize ~ liberalise
liberalizations ~ liberalisations
liberalization ~ liberalisation
libelous ~ libellous
libeling ~ libelling
libeled ~ libelled
leveling ~ levelling
levelers ~ levellers
leveler ~ leveller
leveled ~ levelled
leukemias ~ leukaemias
leukemia ~ leukaemia
legitimizing ~ legitimising
legitimizes ~ legitimises
legitimized ~ legitimised
legitimize ~ legitimise
legalizing ~ legalising
legalizes ~ legalises
legalized ~ legalised
legalize ~ legalise
legalizations ~ legalisations
legalization ~ legalisation
leaped ~ leapt
leaned ~ leant
lackluster ~ lacklustre
